id,URL,tag,tag_cn,right_tag_cn,othername,describe,describe_cn
472,izumi-no-kami_kanesada,izumi-no-kami_kanesada,,,和泉守兼定|兼堀,"A Touken Ranbu character.An uchigatana, formerly classified by the game as a tachi until July 2015. Both he and Horikawa Kunihiro are personifications of swords that belonged to Hijikata Toshizou of the Shinsengumi. He was asked to be made after the Shinsengumi started to become well known, and Hijikata thus sought after a swordsmith from the Kanesada school, requesting that his new sword be similar to his wakizashi (Horikawa). This is likely the reason why Izumi-no-kami and Horikawa have the same hair and eye color. He is still around today, located in the Hijikata Toshizou Museum.Despite looking like an adult, he is technically the youngest character in the game, being the most recently forged sword as he was made in 1867. Because of this, he often comes across as reckless and a bit overconfident, which is why Horikawa often has to assist him or reign him in. Much of his personality is also inspired by Hijikata himself.He has long black hair with part of it done in a side braid, and blue eyes. He typically wears earrings, Japanese clothes, black fingerless gloves, and a cape with the Shinsengumi's distinctive blue and white pattern. For his Kiwame form, he puts his hair up in a ponytail and wears a white headband, a Shinsengumi haori and black knee boots.",一个Touken-Ranbu角色。一个uchigatana，在2015年7月之前被游戏归类为tachi。他和Horikawa Kunihiro都是属于新森谷的Hijikata Toshizou的剑的化身。他被要求在新仙谷开始为人所知之后制造，Hijikata因此从Kanesada学派寻找剑士，要求他的新剑与wakizashi（Horikawa）相似。这可能就是为什么小泉和小川的头发和眼睛颜色一样的原因。他现在仍然存在，位于Hijikata Toshizou博物馆。尽管看起来像个成年人，但从技术上讲，他是游戏中最年轻的角色，是1867年制造的最新锻造的剑。正因为如此，他经常被认为是鲁莽和有点过于自信，这就是为什么贺川经常要帮助他或统治他。他的个性很大程度上也是受到了Hijikata本人的启发，他有一头黑色长发，一部分是侧辫，还有一双蓝色的眼睛。他通常戴着耳环，穿着日式衣服，戴着黑色无指手套，披肩上印有新仙谷特有的蓝白相间的图案。对于他的Kiwame形式，他把他的头发扎成马尾辫，戴着白色的头带，一个shinsengumihaori和黑色的及膝靴。
473,izumi_konata,izumi_konata,,,泉こなた|こなた,"One of the four main characters from Lucky Star. She's apparently an anime and manga addict or otaku. She also likes video games a lot.Izumi is a very petite girl who looks only about 12 to 13 years old despite her real age. She has very long blue hair with an ahoge, green eyes, a mole beneath her left eye, and :3 shaped lips.",幸运星的四个主角之一。她显然是个动漫迷或宅男。她也很喜欢电子游戏，小泉是一个非常娇小的女孩，尽管她的实际年龄只有12到13岁。她有一头长长的蓝头发，长着一双绿色的眼睛，左眼下面有一颗痣，还有：3个形状的嘴唇。
474,izumi_sagiri,izumi_sagiri,,,和泉紗霧|紗霧,"Eromanga-sensei character. The titular artist making illustrations for a light novel series made by her older stepbrother, Masamune. Sagiri's (Eromanga-sensei) illustrations are drawn by tiv for the anime.She has silver, grey or blue low-tied long hair fitted with pink hair bows and blue or aqua eyes. Often seen in her pajamas or a blue jacket, accompanied with a headset, stylus and tablet.",漫画老师的角色。这位名义上的艺术家为她哥哥Masamune创作的一部轻小说系列作插图。Sagiri（Eromanga sensei）的插图是由tiv为这部动画绘制的，她有银色、灰色或蓝色的低扎长发，配上粉红色的发髻和蓝色或浅绿色的眼睛。经常看到她穿着睡衣或蓝色夹克，配上耳机、手写笔和平板电脑。
475,jack_the_ripper_(fate/apocrypha),jack_the_ripper_(fate/apocrypha),,,ジャック・ザ・リッパー(Fate)|ジャック・ザ・リッパー,"Assassin-class Servant in Fate/Apocrypha with Rikudou Reika as her master. She can also be summoned in Fate/Grand Order. A white haired girl with blue or green eyes, she is depicted wearing tight clothing and wielding dual knives.True Name: Jack the RipperCharacter Design: Konoe OtotsuguVoice Actress: Tange Sakura",《命运/伪经》中的刺客级仆人，里库杜·瑞卡是她的主人。她也可以在命运/大秩序中被召唤。一个白发女孩，蓝或绿的眼睛，她穿着紧身衣，挥舞着两把刀。真名：开膛手杰克角色设计：小野寺五郎配音女演员：樱花探戈
476,jaguar_(kemono_friends),jaguar_(kemono_friends),,,ジャガー(けものフレンズ),"A Kemono Friends character. She is one of many ""Friends"" in Japari Park.The jaguar (Panthera onca) is the only species of large cat native to the Americas. It's in fact the third-largest species of cat (behind the tiger and the lion).Jaguar (the Friend) wears a variant of the small cat's outfit despite her size. She was given the catchphrase ""Wakaran"" (""I don't know"" or ""I don't get it"" depending of the context) by the fans after saying the phrase in episode 2 of season 1 anime. Since then, fans have been putting her in as much out-of-context situations for her, eliciting this response and it's alternate version: ""Zenzen wakaran"" (""I don't understand at all"").",凯莫诺朋友的角色。她是日本公园的许多“朋友”之一。美洲虎（Panthera onca）是唯一一种原产于美洲的大型猫科动物。事实上，它是第三大猫科动物（仅次于老虎和狮子），美洲虎（它的朋友）尽管体型庞大，却穿着一种与小猫不同的服装。在第一季动画第二集中，粉丝们给了她一个流行语“Wakaran”（“我不知道”或“我不明白”，取决于上下文）。从那时起，歌迷们就把她放进了很多离经叛道的情境中，引起了这样的反应，这是另一个版本：“Zenzen wakaran”（“我一点也不明白”）。
477,jakuzure_nonon,jakuzure_nonon,,,蛇崩乃音,Kill la Kill character.,杀死la杀死角色。
478,japan_(hetalia),japan_(hetalia),,,本田菊,"""Human"" name: Honda KikuAxis Powers Hetalia's representation of Japan. A short man with black hair wearing a white naval uniform.",“人”的名字：本田KikuAxis权力和田利亚的代表日本。穿着白色海军制服的黑发矮个子男人。
479,japanese_crested_ibis_(kemono_friends),japanese_crested_ibis_(kemono_friends),,,トキ|トキ(けものフレンズ),"A Kemono Friends character. She is one of many ""Friends"" in Japari Park.The Japanese Crested Ibis or Toki (Nipponia nippon) is a large bird with a mostly white plumage, a bare head, showing red skin and a crest of white feathers on the nape. The japanese name for this bird (""Toki"") is also used to refer to the Ibis group as a whole.Crested Ibis (the Friend) has long, swept back white hair (resembling the bird's crest) which turns red at her sidelocks and head wings, with blunt bangs. She wears a white jacket with red feather-trimmed sleeves, a red pleated skirt, and red pantyhose. Her eyes are yellow and she wears red gloves.As her species were bought back from the brink of extinction (and were thought for some time as being extinct), she exibits the lack of shine on the eyes usually reserved to extinct species.She is best described as a terrible singer who likes to sing nonetheless. In the anime, she typically sings about where are her friends (her infamous ""WATASHI WA TOOOKIIII"" song) with a shrill voice that can stun most Friends (as poor Serval can attest). A serving of Alpaca Suri's tea improves her voice to a certain extent (she can't stun anyone by singing).She is often associated with another Toki (whom is also at the brink of death).",凯莫诺朋友的角色。日本朱鹮是日本公园的众多“朋友”之一，它是一种大型鸟类，羽毛大多为白色，头部裸露，皮肤呈红色，颈背上有白色羽冠。这种鸟的日本名字（“Toki”）也被用来指朱鹮群作为一个整体。朱鹮（朋友）有长长的，向后卷曲的白色头发（类似于鸟的羽冠），它的侧锁和头翼变红，刘海变钝。她穿着一件白色夹克，袖子用红色羽毛装饰，一条红色的褶裙和一条红色的连裤袜。她的眼睛是黄色的，戴着红色的手套。由于她的物种从濒临灭绝的边缘被买回来（有一段时间被认为已经灭绝了），她对那些通常只属于灭绝物种的眼睛缺乏光泽。她被形容为一个可怕的歌手，尽管如此，她还是喜欢唱歌。在动画片中，她典型地唱着她的朋友在哪里（她那声名狼藉的“watashiwatoookiii”歌），尖利的声音可以让大多数朋友目瞪口呆（可怜的Serval可以证明这一点）。一份羊驼苏芮的茶在一定程度上改善了她的声音（她不能通过唱歌击昏任何人），她经常与另一个托基（也处于死亡边缘）联系在一起。
480,javelin_(azur_lane),javelin_(azur_lane),,,标枪(碧蓝航线)|ジャベリン(アズールレーン)|ジャベリン改(アズールレーン),"Azur Lane's depiction of the Royal Navy J-class Destroyer HMS Javelin (F61).In her base art (post #2809149), she has purple medium hair tied up in a wide ponytail with a purple ribbon. She has green eyes, and a small crown rests on her head. Around her neck is blue hood with bear-like ears. She wears a white blouse, aplaid, pleated purple skirt, and a pair of black socks with blue boots. Her rigging is composed of handheld polearm, with her quintuple torpedo tubes and twin turret mounted to her back.In her retrofit art (post #2906241), she now wears a one-piece, white dress with a sailor collar and pink ribbon. She switches to wearing white thighhighs, with blue strappy heels. In game, she's a very cheery and energetic girl.",蓝蓝色泳道描绘的英国皇家海军J级驱逐舰“标枪”号（F61）。在她的基础艺术作品（邮政号2809149）中，她有一头紫色的中长头发，扎在一个带紫色缎带的宽马尾里。她有一双绿色的眼睛，头上戴着一顶小皇冠。她脖子上戴着蓝色的帽子，耳朵像熊。她穿着一件白色上衣，一条褶裥的紫色裙子，一双黑色袜子和一双蓝色靴子。她的装备是由手持天线组成的，五重鱼雷管和双炮塔安装在她的背上。在她的改装艺术中（post#2906241），她现在穿着一件白色连衣裙，水手领和粉色丝带。她改穿白色高跟鞋，配蓝色系带高跟鞋。在游戏中，她是一个非常快乐和充满活力的女孩。
481,jean_pierre_polnareff,jean_pierre_polnareff,,,ジャン=ピエール・ポルナレフ,"One of the central protagonists in JoJo no Kimyou na Bouken Part 3. Also appears in Part 5 as a supporting character. His stand is the Silver chariot.He became the origin of two Japanese well-known memes. If you find these memes in the image, use Jean Pierre Polnareff tag and meme tag.1) ""あ…ありのまま 今 起こった事を話すぜ!"" (""A...arinomama Ima Okotta Koto wo Hanasuze!"", ""L-let me tell you straight fact about what happened now!"").When a very unimaginably mysterious thing happened, this meme and his ASCII ART are used.""Before we go after him, I have something to say!I have barely experienced Dio's stand. N-no, I have experienced it, but I don't understand what it is....L-let me tell you straight fact about what happened now!'I was trying to climb the stairs to get him but somehow I ended up lower than where I started.'Y-you guys think I don't know what I'm talking about. I don't know what's going on at all... This is driving me crazy...It's not something like hypnosis or super fast speed. What I experienced was just the tip of the iceberg....""2) ""現実は非情である"" (""Genjitsu wa Hijou de Aru"", ""Reality is Cruel"")
This is a real problem. I'm injured. How can I get away?
There are three options.One, the handsome Polnareff figures out a way to counter the attack.Two, my friends will save me.Or three, reality is cruel and I die here.","第三部中的主角之一，也作为配角出现在第五部中。他的立场是银战车。他成为两个日本著名的模因的起源。如果您在图像中找到这些模因，请使用Jean-Pierre Polnareff tag和meme tag。1）あ…ありのまま 今 起こった事を話すぜ!"" (""“阿林诺玛·伊玛·奥科塔·科托·沃·哈纳苏兹！”让我直接告诉你现在发生的事！）。当一件不可思议的神秘事情发生时，这个模因和他的ASCII艺术被使用了，“在我们追杀他之前，我有话要说！我几乎没有经历过迪奥的立场。不，我经历过，但我不明白这是什么……让我直接告诉你现在发生的事吧我本想爬楼梯去救他，但不知怎么的，结果却比我出发的地方低了。“你们以为我不知道我在说什么吗？”。我完全不知道发生了什么。。。这让我抓狂…这不是催眠或超高速。我所经历的只是冰山一角……“2”現実は非情である"" (""Genjitsu wa Hijou de Aru，“现实是残酷的”）"
482,jeanne_d'arc_(alter)_(fate),jeanne_d'arc_(alter)_(fate),,,ジャンヌ・オルタ|ジャンヌオルタ|ジャンヌ・ダルク〔オルタ〕,"Avenger-class version of Jeanne d'Arc from Fate/Apocrypha, but wears darker clothes and armor in Fate/Grand Order.She was created by the grieved Gilles de Rais from the Holy Grail's wish as an alter-ego of Jeanne d'Arc after the real Jeanne was burned at the stakes. Instead of wishing to protect her home country (France), she wished to destroy them instead.",《命运/伪经》中的复仇者版本的珍妮·德阿克，但在《命运/大秩序》中穿着深色的衣服和盔甲。她是在真正的珍妮被烧死在木桩上之后，由悲伤的吉勒·德赖斯从圣杯的愿望中创造出来的，作为珍妮·德阿克的另一个自我。她不想保护她的祖国（法国），而是想摧毁他们。
483,jeanne_d'arc_(fate),jeanne_d'arc_(fate),,,ジャンヌ・ダルク|ルーラー|ジャンヌ・ダルク(Fate)|ジャンヌ,"The Standard-Bearer who Correctly Guides the Holy Grail War She is a Servant of the Ruler class, with the additional classification of the Saber class. As shown in Fate/Apocrypha and Fate/Zero, she is a blonde haired woman with blue or purple eyes, having a long braid and is always seen wearing set of armor including headpiece, faulds, gauntlets, plackart; and a pair of black thighhighs.Can be summoned as a Ruler class servant in Fate/Grand Order.True Name: Jeanne d'Arc, aka Joan of ArcCharacter Design: Takeuchi TakashiVoice Actress: Sakamoto Maaya",旗手谁正确地指导圣杯战争她是一个仆人的统治者阶级，与额外的分类佩剑阶级。如《缘分/伪经》和《缘分/零》所示，她是一个金发碧眼的女人，有着蓝色或紫色的眼睛，有着长长的辫子，经常穿着一套盔甲，包括头饰、假面具、护腕、标语牌；和一双黑色的长腿。可以被召唤为命运/大秩序中的统治者级仆人。真名：珍妮·d'Arc，又名圣女贞德角色设计：Takeuchi TakashiVoice女演员：Sakamoto Maaya
484,jeanne_d'arc_(fate)_(all),jeanne_d'arc_(fate)_(all),,,ジャンヌ・ダルク|ジャンヌ姉妹,Catchall tag that allows searching for all versions of Jeanne d'Arc from the Fate series simultaneously.,Catchall标记，允许同时从命运系列中搜索所有版本的Jeanne d'Arc。
485,jeanne_d'arc_(granblue_fantasy),jeanne_d'arc_(granblue_fantasy),,,ジャンヌダルク(神撃のバハムート)|ジャンヌダルク(グラブル),,
486,jessica_albert,jessica_albert,,,ゼシカ・アルバート|ゼシカ,"One of the protagonists of Dragon Quest VIII and the game's only playable female character, Jessica is a noblewoman who joins the party to avenge her brother Alistair's murder.At first she is lacking in social niceties, coming off as bossy and pushy, but she eventually softens and becomes one of the Hero's most important friends.She is well-known for wearing a low-cut dress that highlights her large breasts, and even uses her sex appeal in combat to distract enemies.Jessica also appears in Itadaki Street, a Monopoly-style game for the Wii featuring characters from the Dragon Quest and Mario series.",杰西卡是《龙之任务八》的主人公之一，也是游戏中唯一可玩的女性角色，她是一位贵族女性，加入派对是为了为哥哥阿利斯泰尔的谋杀报仇。起初，她缺乏社交礼仪，表现得专横和急躁，但她最终变得温柔起来，成为主人公最重要的朋友之一。她以穿着低胸礼服凸显丰胸而闻名，甚至在战斗中利用性感来分散敌人的注意力。杰西卡也出现在Itadaki街，一款专为Wii设计的垄断风格游戏，游戏中的人物来自龙之旅和马里奥系列。
487,jigglypuff,jigglypuff,,,プリン,"Pokémon #039 in the National Pokédex.Playable in the Super Smash Bros. series.Evolves from Igglybuff, into Wigglytuff.Japanese name: Purin",Pokémon#039在国家Pokédex。可在超级粉碎兄弟系列。从Igglybuff演变成Wigglytuff。日本名字：Purin
488,jill_valentine,jill_valentine,,,ジル・バレンタイン,"Jill Valentine (ジル・バレンタイン) is a Special Operations Agent (SOA) of the Bioterrorism Security Assessment Alliance, of which she is a co-founder and one of the original eleven members, making her a respected and high ranking operative of the organization. Prior to this, she was a member of S.T.A.R.S. Alpha team, Position RS (Rear Security). Before joining S.T.A.R.S., she was in the U.S. Army's Delta Force training program, where she earned extremely high grades in bomb disposal. She was brought into S.T.A.R.S. for her already well-developed fighting skills.After joining up with S.T.A.R.S., she survived the infamous Mansion incident and the Raccoon City outbreak. She is the long time partner of Chris Redfield, and as a result of their partnership, the two are engaged in a deep relationship, and Jill does really care about Chris' life when he is in danger, she would sacrifice her life for Chris, like she did in the Spencer's state. She has devoted almost her entire adult life to stopping bio-terrorism and hated enemy, Albert Wesker.",吉尔·瓦伦丁(ジル・バレンタイン) 是生物恐怖主义安全评估联盟的特别行动代理（SOA），她是该联盟的联合创始人和最初的11个成员之一，使她成为该组织受人尊敬的高级特工。在此之前，她是S.T.a.R.S.的成员。阿尔法小组，位置RS（后方安全）。在加入S.T.A.R.S.之前，她参加了美国陆军三角洲部队的训练项目，在那里她在炸弹处理方面取得了极高的成绩。她被带进了S.T.A.R.S。在加入S.T.A.R.S.后，她在臭名昭著的豪宅事件和浣熊城爆发中幸存了下来。她是克里斯·雷德菲尔德的长期合作伙伴，由于他们的合作关系，两人的关系很深，吉尔真的很关心克里斯的生命当他处于危险中时，她会为克里斯牺牲自己的生命，就像她在斯宾塞州所做的那样。她几乎整个成年都致力于阻止生物恐怖主义，憎恨敌人艾伯特·韦斯克。
489,jin_kisaragi,jin_kisaragi,,,ジン=キサラギ,"Jin is a Major of the NOL in BlazBlue, who wields the ice-inducing sword Yukianesa. He is always cool and calm, but is also jealous, ambitious, and posessive, with little care for others, treating them as if they're just obstacles. When news arrives about Ragna, he abandons his post to go look for him.Well known for his yandere-like obsession to Ragna The Bloodedge, his hatred for Noel Vermillion and attraction to Tsubaki Yayoi.He has an alternate universe counterpart, Hakumen.",金是布拉兹布鲁的诺尔少校，他挥舞着引冰剑。他总是冷静冷静，但也有嫉妒心、野心和进取心，很少关心别人，把别人当成障碍。当关于拉格纳的消息传来时，他放弃了自己的职位去找他。众所周知，他对拉格纳的血刃，对诺埃尔·朱米伦的仇恨和对竹垣的吸引力，他有另一个宇宙对手，白门。
490,jinx_(league_of_legends),jinx_(league_of_legends),,,jinx,"Jinx, the Loose CannonA human Champion from Piltover in League of Legends usually played as an AD Carry in Bot Lane. She is known for her blatant craziness, flat chest, love of violence and chaos, and large arsenal of firearms. She causes crime in Piltover, and enjoys toying with law enforcement officers Caitlyn and Vi, who attempt to catch her to no avail.Alternate Skins
Mafia Jinx
Firecracker Jinx
Odyssey Jinx
Slayer Jinx
Star Guardian Jinx
Ambitious Elf Jinx",金克斯，传说联盟中从皮尔托弗来的自由炮弹人类冠军，通常在机器人巷扮演一个广告携带者。她以明显的疯狂、扁平的胸膛、对暴力和混乱的热爱以及庞大的枪械库而闻名。她在偷盗案中制造了犯罪，并且喜欢玩弄执法人员凯特琳和维，他们试图抓住她却无济于事
491,johnny_joestar,johnny_joestar,,,ジョニィ・ジョースター,"One of the main protagonists of Steel Ball Run, alongside Gyro Zeppeli. A paraplegic former horse jockey that resolves to follow Gyro Zeppeli in the Steel Ball Run race, hoping he may hold the key to letting him walk again.His Stand power is Tusk. Wears a hat with a horse head/horseshoe emblem on the front.",其中一个主要的主角钢球运行，旁边的陀螺齐柏林飞艇。一位截瘫的前赛马骑师，决心在钢球赛跑中跟随吉罗齐佩利，希望他能握着钥匙让他再次行走。他的站立力量是象牙。戴一顶正面有马头/马蹄形标志的帽子。
492,jonathan_joestar,jonathan_joestar,,,ジョナサン・ジョースター,"Main protagonist of JoJo no Kimyou na Bouken Part 1: Phantom Blood. His nickname is ""JoJo"", a name that the leading character of each following Part possesses, in one way or another. Dio Brando is his adoptive brother turned nemesis, and Erina Pendleton is his love interest. Learned Hamon under the tutelage of Will Anthonio Zeppeli, and also weilds the sword Luck and Pluck.His nickname, and the subsequent nicknames of his descendants, are a reference to the Beatles song Get Back.",主人公乔乔诺·金尤娜·布肯第1部分：幽灵之血。他的昵称是“JoJo”，这是一个名字，主角的每一部分拥有，以某种方式或其他。迪奥·白兰度是他的养兄变成了复仇女神，而艾琳娜·彭德尔顿是他的情趣所在。在威尔·安托尼奥·齐佩利的指导下学会了哈蒙，也学会了剑运和拔拔。他的昵称，以及后来他的后代的昵称，都是披头士歌曲《回来》的参考。
493,joseph_joestar,joseph_joestar,,,ジョセフ・ジョースター,A catch-all tag for all versions of Joseph Joestar from the JoJo no Kimyou na Bouken series.,JoJo no Kimyou na Bouken系列中所有版本的Joseph Joestar的catch all标签。
494,joseph_joestar_(young),joseph_joestar_(young),,,ジョセフ・ジョースター,"Joseph Joestar as he appears in Battle Tendency. As a young teenager, Joseph uses the power of the Hamon (Ripple) to defeat the Pillar Men.",约瑟夫乔斯塔，因为他出现在战斗趋势。作为一个年轻的青少年，约瑟夫利用哈蒙（涟漪）的力量打败了支柱的人。
495,jouga_maya,jouga_maya,,,条河麻耶|チマメ隊|マヤ,A character from Gochuumon wa usagi desu ka?. Schoolmate and friend of Kafuu Chino.,一个来自Gochuumon wa usagi desu ka？的角色？。卡富奇诺的同学和朋友。
496,jougasaki_mika,jougasaki_mika,,,城ヶ崎美嘉,"An iDOLM@STER Cinderella Girls character in the Passion (Yellow Sun) category. She is a 17-year-old who likes kogal fashion and culture, much like her younger sister. She also enjoys karaoke.Due to her popularity, she was selected for the second CINDERELLA MASTER CD series, alongside Kanzaki Ranko, Maekawa Miku, Moroboshi Kirari, and Shimamura Uzuki. Her seiyuu is Yoshimura Haruka [佳村 はるか].",一iDOLM@STER灰姑娘的性格在激情（黄太阳）类。她今年17岁，喜欢科加尔的时尚和文化，很像她的妹妹。她也喜欢卡拉OK。由于她的人气，她被选为第二届灰姑娘大师CD系列，与甘崎冉子，前川美久，摩罗博希基拉里，和岛村乌木。她叫Yoshimura Haruka[佳村 はるか].
497,jougasaki_rika,jougasaki_rika,,,城ヶ崎莉嘉|城ケ崎莉嘉,"An iDOLM@STER Cinderella Girls character in the Passion (Yellow Sun) category. She is 12, with long, blonde hair and a kogal fashion sense. Her interests include stickers and beetles. Although she tries to act like an adult, she is very childlike on the inside.Her sister is Jougasaki Mika. Since she is the younger sister, Rika was nicknamed Imoutogasaki (妹ヶ崎). Her card's high stats in the game attracted many players to obtain her along with Mika.Due to her popularity, she was selected for the first CINDERELLA MASTER CD series, alongside Futaba Anzu, Shibuya Rin, Mimura Kanako and Takagaki Kaede. Her seiyuu is Yamamoto Nozomi [山本 希望].She is in the unit ""Dekoration"" with Akagi Miria and Moroboshi Kirari, and their unit costumes are Pikapikapop in the anime.",一iDOLM@STER灰姑娘的性格在激情（黄太阳）类。她今年12岁，长着一头金色的长发，有一种科加尔式的时尚感。她的兴趣包括贴纸和甲虫。虽然她努力表现得像个成年人，但她内心却很孩子气，她的姐姐是Jougasaki Mika。因为她是妹妹，Rika被昵称为Imoutogasaki(妹ヶ崎). 她的牌在游戏中的高数据吸引了很多玩家和米卡一起获得她。由于她的人气，她被选为第一张灰姑娘大师CD系列，与安祖福田，涉谷林，三村真子和高垣。她叫山本野佐美[山本 希望].她和赤木·米丽亚和莫罗博希·基拉里一起在单位“德科拉廷”，他们的单位服装是动画中的皮卡皮卡波普。
498,jude_mathis,jude_mathis,,,,"One of two main protagonists in Tales of Xillia, a medic who goes to investigate an incident when many patients arrive in his hospital. He is capable of martial arts, and grows to admire Milla Maxwell. Although skilled, Jude is still immature of the ways of the world. His seiyuu is Tsubasa Yonaga.",西莉亚传说中的两个主角之一，当许多病人到达他的医院时，一个去调查一个事件的医生。他很会武术，渐渐地开始崇拜米拉·麦克斯韦。虽然技术高超，但裘德对世道还不成熟。他的seyuu是Tsubasa Yonaga。
499,junketsu,junketsu,,神衣纯洁,純潔,"Kiryuuin Satsuki's uniform in Kill la Kill. Unlike Senketsu, it never speaks, and its gender (if it has one) is unknown.",kiryuin Satsuki在Kill la Kill的制服。与森克苏不同，它从不说话，而且它的性别（如果它有性别的话）是未知的。
500,junko_(touhou),junko_(touhou),,,純狐,"Touhou character introduced as the final boss in Legacy of Lunatic Kingdom. A divine spirit with the power to purify anything. She has long blonde or orange hair and red eyes. She wears a phoenix crown with a crescent moon on it and Chinese clothes with a red tabard. Behind her are multiple fox tails made out of energy.She is the embodiment of all hatred against the Lunarian race, especially Chang'e, whose husband shot down the sun and killed Junko's son Bofeng. She is friends with Hecatia Lapislazuli who sympathized with her as she holds a grudge against Chang'e as well.Unlike other Touhou characters, she has no in-game title. Her official profile simply says ""(無名の存在)""/""(Nameless Being)"" in place of a title, likely because she has purified herself of all identifying information.","头后在《疯狂王国的遗产》中被介绍为最后一个老板。有能力净化任何事物的神圣的灵魂。她有一头金色或橙色的长发和一双红眼睛。她戴着一顶月牙形的凤凰冠，穿着一件红色的华服。在她身后是多条精力充沛的狐狸尾巴，她是所有仇视月神种族的化身，尤其是嫦娥，她的丈夫射下了太阳，杀死了俊子的儿子波峰。她和赫卡蒂亚·拉皮斯拉祖利是朋友，她同情她，因为她对嫦娥也怀恨在心。和其他头尾角色不同，她没有游戏中的头衔。她的官方资料只是说(無名の存在)""/""(“无名的存在”代替了一个头衔，可能是因为她净化了自己所有的身份信息。"
501,kaban_(kemono_friends),kaban_(kemono_friends),,,かばん|かばんちゃん|さばんなコンビ|ネオかばんちゃん,"The protagonist of the first Kemono Friends anime. She never appeared in the game or the manga adaptation. Voiced by Uchida Aya.As she doesn't know who (or what) she is, she is named after the backpack that she wears, with her name literally meaning bag.She wears a tattered pith helmet with a feather in it over her short black wavy hair that comes down between her black eyes. Her clothing includes a red shirt, shorts, black pantyhose and black gloves.",第一部主人公凯莫诺的朋友动漫。她从未出现在游戏或漫画改编。由内田阿雅配音。由于她不知道自己是谁（或什么），她是以她所穿的背包命名的，她的名字字面意思是包。她戴着一个破烂的髓头盔，里面有一根羽毛覆盖在她黑色波浪短发上，从她黑色的眼睛间垂下来。她的衣服包括红色衬衫、短裤、黑色连裤袜和黑色手套。
502,kadotani_anzu,kadotani_anzu,,角谷杏,角谷杏|カメさんチーム|みほ杏,,
503,kaenbyou_rin,kaenbyou_rin,,火焰猫燐,火焔猫燐|お燐,"The ""Traffic Accident of Hell"". Stage 4 mid-boss, Stage 5 mid-boss and boss and Stage 6 mid-boss of Touhou's Subterranean Animism. Also known as ""Orin"" (お燐) to differentiate her from the earlier, concept-only character Satsuki Rin.A kasha (monster cat) responsible for transporting corpses on her wheelbarrow to the Hell of Blazing Fires to regulate its heat. Having learned of Reiuji Utsuho's new power and her naive ambition to conquer the surface world, and fearing punishment from their master Komeiji Satori, Rin sent evil spirits above the ground to warn any able fighter to face this threat. Apparent master of the so-called ""Zombie Fairies"". Occasionally depicted as a necrophiliac.Rin's most distinctive feature is that she has two sets of ears, a pair of human-like ears on the sides of her head and a pair of cat ears on the top.",“地狱交通事故”。第四阶段中老板，第五阶段中老板和老板，第六阶段中老板的头侯的地下万物有灵论。又称“奥林”(お燐) 为了使她区别于早期的，只有概念的角色Satsuki Rin。一只kasha（怪物猫），负责用她的独轮车把尸体运到熊熊燃烧的地狱来调节它的热量。得知了大藤瑞二的新力量和她征服地表世界的天真野心，并害怕他们的主人佐藤小美二的惩罚，林派恶魔到地面上警告任何有能力的战士面对这一威胁。表面上是所谓“僵尸精灵”的主人。偶尔被描绘成一个嗜尸癖。林的最显著的特征是她有两对耳朵，一对人形的耳朵在她的头部两侧，一对猫耳朵在顶部。
504,kaenbyou_rin_(cat),kaenbyou_rin_(cat),,,,Kaenbyou Rin in her cat form.,卡恩布林在她的猫的形式。
505,kafuu_chino,kafuu_chino,,,香風智乃|チノ|チマメ隊,Character from gochuumon wa usagi desu ka?Voiced by Minase Inori,来自gochuumon wa usagi desu ka的角色？由Minase Inori配音
506,kaga_(azur_lane),kaga_(azur_lane),,,加贺(碧蓝航线)|加賀(アズールレーン)|加賀,"Azur Lane's personification of the aircraft carrier Kaga (加賀). A nine-tailed kitsune, Kaga has white hair and tails, with blue eyes accented by makeup around the edges. She is often wearing a fox mask as well. Being a capital ship, she also has large breasts.One of the members of the elite First Carrier Division of the Sakura Empire, Kaga has a very brash personality, seeking to prove herself superior to her opponents through combat. She also expresses Social Darwinist tendencies as well, believing that defeat only comes to those whom she considers weak. She is also close to Akagi, with the two being the de facto leaders of the Sakura Empire in the story the game's special events tell. In the anime, the two are outright lovers.",蓝色小巷是卡加号航空母舰的化身(加賀). 卡加是一只九尾鸢尾，有着白色的头发和尾巴，蓝色的眼睛被边缘的妆容所突出。她也经常戴狐狸面具。身为主力舰的她，胸部也很丰满，身为樱花帝国第一航母精锐师的成员之一，卡加个性非常狂妄，力求通过战斗证明自己优于对手。她也表达了社会达尔文主义倾向，认为失败只会降临到那些她认为软弱的人身上。她和赤木也很亲近，在游戏的特别事件中，两人实际上是樱花帝国的领袖。在动画片中，两人是彻头彻尾的恋人。
507,kagamihara_nadeshiko,kagamihara_nadeshiko,,,各務原なでしこ|各務原|なでしこ,,
